Year,heating,cooling & ventilation,envelope,lighting,appliances,other
electricity (BTU),1511960000000.0,1321820000000.0,0.0,814628000000.0,3508130000000.0,3352640000000.0
coal (BTU),0.0,0.0,0.0,0.0,0.0,0.0
natural gas (BTU),8613350000000.0,0.0,0.0,0.0,2929940000000.0,347138000000.0
petroleum diesel (BTU),152495000000.0,0.0,0.0,0.0,60725600000.0,12205900000.0
heat (BTU),0.0,0.0,0.0,0.0,0.0,0.0
biomass (BTU),2528300000000.0,0.0,0.0,0.0,0.0,0.0
kerosene (BTU),0.0,0.0,0.0,0.0,0.0,0.0
heavy or residual fuel oil (BTU),0.0,0.0,0.0,0.0,0.0,0.0
LPG propane or butane (BTU),3087190000000.0,0.0,0.0,0.0,556358000000.0,35922400000.0
hydrogen (BTU),0.0,0.0,0.0,0.0,0.0,0.0
